Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,순위점수 + 톱랭킹포인트*10,순위점수 + 톱랭킹포인트,순위점수 + WAR
,,,,,a,b,,,c,a + (round(b)*10),a + round(b/10)*10,a + (c*1000)
rank,톱랭킹 Rank,선수명,구단,포지션,순위 점수,톱랭킹 포인트,기본 점수,승리 기여도,WAR,1안,2안,3안(FIX)
219,109,이상영,LG,투수,192000,21.54,13.9,7.64,0.5,192220,192020,192500
220,110,박성빈,SSG,투수,191000,16.72,16.4,0.32,0.11,191170,191020,191110
221,111,김형준,NC,타자,190000,170.84,364.1,-193.26,0.53,191710,190170,190530
222,111,남지민,한화,투수,190000,16.12,17.4,-1.28,0.1,190160,190020,190100
223,112,이유찬,두산,타자,189000,166.44,275.8,-109.36,0.7,190660,189170,189700
224,112,원종현,키움,투수,189000,15.91,-5.1,21.01,0.09,189160,189020,189090
225,113,전민재,두산,타자,188000,154.95,219.5,-64.55,0.26,189550,188150,188260
226,113,오승환,삼성,투수,188000,15.62,432.6,-416.98,-0.36,188160,188020,187640
227,114,김재호,두산,타자,187000,152.18,141.3,10.88,0.58,188520,187150,187580
228,114,최승용,두산,투수,187000,14.91,80.5,-65.59,0.11,187150,187010,187110
229,115,이정훈,롯데,타자,186000,150.18,151.1,-0.92,0.49,187500,186150,186490
230,115,스타우트,KIA,투수,186000,13.05,32.3,-19.25,0.33,186130,186010,186330
231,116,손성빈,롯데,타자,185000,130.59,180.6,-50.01,0.19,186310,185130,185190
232,116,성동현,LG,투수,185000,11.32,11.2,0.12,0.08,185110,185010,185080
233,117,이원석,한화,타자,184000,129.9,137.7,-7.8,0.2,185300,184130,184200
234,117,최우석,NC,투수,184000,9.39,9.2,0.19,0.12,184090,184010,184120
235,118,강현우,KT,타자,183000,119.19,72.9,46.29,0.37,184190,183120,183370
236,118,정동윤,SSG,투수,183000,9.38,10,-0.62,0.05,183090,183010,183050
237,119,이기순,SSG,투수,182000,7.57,15.3,-7.73,0.47,182080,182010,182470
238,119,카데나스,삼성,타자,182000,114.19,52.6,61.59,0,183140,182110,182000
239,120,송재영,롯데,투수,181000,7.56,2.6,4.96,-0.17,181080,181010,180830
240,120,박시원,NC,타자,181000,105.6,130.4,-24.8,-0.28,182060,181110,180720
241,121,변상권,키움,타자,180000,95.74,172.9,-77.16,0.24,180960,180100,180240
242,121,문성현,키움,투수,180000,5.57,7.6,-2.03,-0.12,180060,180010,179880
243,122,홍원표,삼성,투수,179000,3.27,6.8,-3.53,0.03,179030,179000,179030
244,122,박한결,NC,타자,179000,92.03,101.9,-9.87,-0.31,179920,179090,178690
245,123,권광민,한화,타자,178000,90.73,94.4,-3.67,0.53,178910,178090,178530
246,123,김승일,한화,투수,178000,3.12,0.8,2.32,0.13,178030,178000,178130
247,124,함덕주,LG,투수,177000,2.53,18.9,-16.37,0.26,177030,177000,177260
248,124,김민성,롯데,타자,177000,88.9,83.2,5.7,0.13,177890,177090,177130
249,125,윤도현,KIA,타자,176000,87.4,64.3,23.1,0.49,176870,176090,176490
250,125,박주현,NC,투수,176000,1.06,0.8,0.26,0.03,176010,176000,176030
251,126,장재혁,KIA,투수,175000,0.8,0.8,0,0.06,175010,175000,175060
252,126,이진영,한화,타자,175000,85.13,93.3,-8.17,0.04,175850,175090,175040
253,127,김건희,키움,타자,174000,82,274.5,-192.5,0.59,174820,174080,174590
254,127,김대현,LG,투수,174000,-0.12,59.5,-59.62,0.02,174000,174000,174020
255,128,박윤성,키움,투수,173000,-1.16,17.2,-18.36,0.04,172990,173000,173040
256,129,도태훈,NC,타자,172000,79.3,139.7,-60.4,0.39,172790,172080,172390
257,128,김성현,SSG,타자,173000,80.81,117.7,-36.89,-0.75,173810,173080,172250
258,129,우강훈,LG,투수,172000,-1.7,24,-25.7,0.15,171980,172000,172150
259,130,하주석,한화,타자,171000,79.14,113.2,-34.06,0.23,171790,171080,171230
260,130,김도윤,두산,투수,171000,-4.92,-5.6,0.68,0,170950,171000,171000
261,131,박수종,키움,타자,170000,75.2,105.1,-29.9,0.24,170750,170080,170240
262,131,진우영,LG,투수,170000,-5.15,-4.4,-0.75,0.08,169950,169990,170080
263,133,최준호,두산,투수,168000,-5.58,51,-56.58,1.21,167940,167990,169210
264,132,최하늘,삼성,투수,169000,-5.54,30.2,-35.74,0.07,168940,168990,169070
265,132,장두성,롯데,타자,169000,74.44,54.4,20.04,-0.23,169740,169070,168770
266,133,이재원,한화,타자,168000,74.1,121,-46.9,-0.26,168740,168070,167740
267,134,홍종표,KIA,타자,167000,74.02,114.1,-40.08,0.31,167740,167070,167310
268,134,김진호,NC,투수,167000,-6.72,-6.6,-0.12,0,166930,166990,167000
269,135,황동재,삼성,투수,166000,-7.21,51.1,-58.31,0.93,165930,165990,166930
270,135,조용호,KT,타자,166000,73.38,114.2,-40.82,-0.42,166730,166070,165580
271,136,정우람,한화,투수,165000,-7.55,-4,-3.55,0,164920,164990,165000
272,136,홍현빈,KT,타자,165000,73.12,29.9,43.22,-0.16,165730,165070,164840
273,137,박정우,KIA,타자,164000,69.66,81.4,-11.74,0.51,164700,164070,164510
274,137,박준우,롯데,투수,164000,-7.8,-7.8,0,0,163920,163990,164000
275,138,신본기,KT,타자,163000,68.44,156.2,-87.76,0.85,163680,163070,163850
276,138,이선우,KT,투수,163000,-8.47,0,-8.47,0.15,162920,162990,163150
277,139,김승현,KIA,투수,162000,-9.92,12.4,-22.32,0.12,161900,161990,162120
278,139,임병욱,키움,타자,162000,65.95,86.7,-20.75,0.06,162660,162070,162060
279,140,박세혁,NC,타자,161000,65.79,128.4,-62.61,0.58,161660,161070,161580
280,140,이충호,한화,투수,161000,-12.01,-6,-6.01,-0.05,160880,160990,160950
281,141,이호준,롯데,타자,160000,63.55,35.3,28.25,0.11,160640,160060,160110
282,141,윤정현,키움,투수,160000,-12.14,-12.2,0.06,-0.01,159880,159990,159990
283,142,김성윤,삼성,타자,159000,61.88,89.6,-27.72,0.08,159620,159060,159080
284,142,박세진,KT,투수,159000,-12.29,-2.8,-9.49,-0.05,158880,158990,158950
285,143,이주헌,LG,타자,158000,60.03,22.6,37.43,0.1,158600,158060,158100
286,143,서의태,NC,투수,158000,-12.46,8.7,-21.16,-0.06,157880,157990,157940
287,144,전병우,삼성,타자,157000,57.33,116.1,-58.77,0.42,157570,157060,157420
288,144,하준호,KT,투수,157000,-13.53,-13.8,0.27,0,156860,156990,157000
